Графіті №,табл,Розташування,Опис,Датування,Категорія
42 ,"LVІ, 2","Висота від сучасної підлоги 120 см, відстань від лівого кута","Збереженість напису досить добра, його складові чітко читаються: ст͠м҃мѫче | нѥц133по | ꙁ-ꙑте | рабѫ | св З розбивкою на слова та відновленням прорпущених фрагментів текст виглядає так: С(вѧ)ти м҃ мѫченѥци помоз/ъ/ыте рабѫ св{оему}. Святі 40 мучеників, поможіть рабу своєму. подальше вивчення прорізів довело, що ліва ""щогла"" щ є засічкою на язичку ѥ, а частина платформи є наслідком невдалої розчистки прорізів, тож на фресці чітко читаються ѥ та дзеркальна ц.","Друга третина XІІ – початок XІІІ ст.; за формою написання, е з за- січкою на язичку, з із переломом хвоста, прямолінійної р з петлею кутом вгору, дзер- кальної ц та ы молоточком з покриттям134.",Молитовний напис.
156 ,"LVІІІ, LІХ","Висота від сучасної підлоги 90 см, відстань від лівого кута 385 см.","Незважаючи на пошкодження тиньку, який знищив частину складових напису, більшість з них піддається ідентифікації: ✠св͠т:м҃:мч͠нкъ:помлоутемѧ грѣшѣ139нагодатемсконъчат ꙁаветъ140✠г простд141абыхъ грѣхы142сво143---очстлъ144безоумье145 отѣвѣрг✠146владыкопомѧ н--г--шѣ147на-овъцесаръст своемъамнъ148 З розбивкою на слова та відновленням втрачених фрагментів текст виглядає таким чином: ✠Св(ѧ)ти :м҃: м(оу)ч(е)н(и)къ: помилоуите мѧ грѣшѣнаго даите ми сконъчати заветъ ✠ Г(оспод)и прости дабыхъ грѣхы сво[и] {азъ} очистилъ и безоумье отѣвѣрг(ъ) ✠ Владыко помѧни [мѧ] г[рѣ]шѣна[г]о въ цесарстии своемъ аминъ. Святі 40 мучеників, помилуйте мене грішного, дайте скінчити завіт. Господи, про- сти мене, щоб гріхи свої я очистив та безумство відкинув. Владико, пом'яни мене грішного у царстві твоєму. Амінь.","Друга третина XІІ ст.; за формою написання вертикальної е, нахи- леної праворуч з із переломом або вертикальної із розвилкою, прямолінійної р з пет- лею кутому вгору або кутом вперед, ч у вигляді пласкої чаші, ы без перемички, ѣ з покриттям та коромислом, яке торкається петлі149.",Молитовний напис.
224 ,"LХ, 1","Висота від сучасної підлоги 132 см, відстань від лівого кута 65 см.","Збереженість напису доволі добра, його складові чітко читаються: ст:м҃-мчкъ152м | олтезараба | своегогеорьгѧ З розбивкою на слова текст виглядає таким чином: С(вѧ)ти :м҃[:] м(оу)ч(ени)кь молите за раба своего Георьгиѧ. Святі 40 мучеників, моліть за раба свого Георгія.","Кінець XІ – кінець XІІ ст.; за формою написання а з виступаючою вгору спинкою, нахиленої праворуч е, р з маленькою голівкою153.",Молитовний напис.
312 ,"LХІ, 1","Висота від сучасної підлоги 84 см, відстань від лівого кута 408 см.","Поверхня стіни в місці розташування напису пошкоджена, проте його складові простежуються доволі добре: г͠помоꙁравоу | своемоуван155ов | гр— З розбивкою на слова текст виглядає таким чином: Г(оспод)и помози рабоу своемоу Ивнови гр{ѣшьномоу}. Господи, поможи рабу своєму Іванові грішному.","Середина XІІ – кінець XІІІ ст.; за формою написання дзеркальної а, в з переломом при щоглі, нахиленої праворуч з із переломом, прямолінійної р з ок- руглою петлею156.",Молитовний напис.
495 ,"LХ, 2","Висота від сучасної підлоги 86 см, відстань від лівого кута 56 см.",На фресці прокреслені літери П Д Р Ф.,"Друга чверть XІ – кінець XІІІ ст.; за формою написання д з довгими ніжками, п з виступом зверху та прямолінійної р з округлою петлею.","Абетки, склади та окремі літери."
496 ,"LХІ, 2","Висота від сучасної підлоги 91 см, відстань від лівого кута 54 см.","Збереженість напису добра, його складові чітко простежуються: помнгⷭамельѧ З розбивкою на слова та відновленням пропущених фрагментів текст виглядає таким чином: Пом(ѧ)ни Г(о)с(под)и Амельѧ(на). Пом'яни, Господи, Омеляна.","Кінець XІV – кінець XV ст.; за формою написання а з майже вер- тикальною спинкою, и з горизонтальною та н з діагональною перемичками.",Молитовний напис.
497 ,"LХІІ, 1","Висота від сучасної підлоги 78 см, відстань від лівого кута 64 см.",На поверхні фрески досить великими літерами виконаний напис: Андреи проопоп 'Андрій протопоп'.,"Кінець XV – кінець XVІ ст.; за формою написання а з горизонталь- ною перемичкою, е у вигляді дзеркальної трійки, и з діагональною та н з горизон- тально перемичками, п з виступом зверху, триногої т.",Пам'ятний напис.
502 ,"LХІІ, 2","Висота від сучасної підлоги 96 см, відстань від лівого кута 56 см.","Збереженість напису добра, його складові чітко читаються: ст͠хъм҃мчⷩкъ З розбивкою на слова текст виглядає таким чином: С(вѧ)т(ы)хъ м҃ м(оу)ч(е)н(и)къ. Святих 40 мучеників.","Друга чверть XІІ ст.; за формою написання х у вигляді ножиць з засічками, ч у вигляді пласкої чаші.",Підпис до фрескового образу.
503 ,"LХІІ, 3","Висота від сучасної підлоги 96 см, відстань від лівого кута 58 см.","Біля останнього слова попереднього напису в два рядки виконане слово м(оу)ч(е)н(и)ка 'мучеників', яке слід тлумачити як виправлення до тексту графіті № 502. На думку його автора, множина від слова мѫченикъ буде не мчⷩкъ, а мчнка.",Друга чверть XІІ ст.; за формою написання ч у вигляді пласкої чаші та змістовним зв'язком з попереднім текстом.,Підпис до фрескового образу.
504 ,"LХІІІ, 1","Висота від сучасної підлоги 101,5 см, відстань від лівого кута","Незважаючи на пошкодження тиньку іншим графіті, складові напису збе- реглись добре і чітко простежуються, завдяки чому можемо встановити, що тут була виконана традиційна форма молитви Госьподи помоꙁи 'Господи, поможи'.",Друга чверть XІ – кінець ХІІ ст.; за формою написання нахиленої праворуч з із переломом.,Молитовний напис.
505 ,"LХІІІ, 2","Висота від сучасної підлоги 115 см, відстань від лівого кута 65 см.","На поверхні фрески прокреслене дієслово-звернення помѧн(и) 'пом'яни'. Вигляд поверхні тиньку біля літер вказує, що текст містив тільки ці складові.",Друга чверть XІ – кінець ХV ст.; за формою написання н з нахиле- ною перемичкою.,Молитовний напис.
506 ,"LХІІІ, 3","Висота від сучасної підлоги 107,5 см, відстань від лівого кута","Збереженість напису доволі добра, його складові чітко простежуються: ст͠моученщ | молтезарабасво | егована З розбивкою на слова текст виглядає таким чином: С(вѧ)ти моученищи молите за раба своего Ивана. Святі мученики, моліть за раба свого Івана.","Друга третина XІІ – початок ХІІІ ст.; за формою написання а з по- криттям, в з виступом зверху та з нижньою петлею, що скісна до щогли, г з виступом зверху, вертикальної з із переломом, и та н з довгими засічками, прямолінійної р з ок- руглою петлею, оу зі зменшеним о, щ з виступаючим над рядком хвостом.",Молитовний напис.
507 ,"LХІV, 1","Висота від сучасної підлоги 108 см, відстань від лівого кута",На поверхні фрески прокреслене особове та родове імена автора Teodor Woronkowsky 'Федір Воронковський'. Особа автора наразі не ідентифікована.,Кінець XVІ – кінець ХVІІ ст.; формою прорізів та фактом вживання латиниці.,Пам'ятний напис.
508 ,"LХV, 1","Висота від сучасної підлоги 87 см, відстань від лівого кута 11,5 см.",Права частина напису знищена обвалом тиньку: ст͠:м҃-------- | ꙁам--------- З розбивкою на слова та відновленням втрачених фрагментів наявний текст ви- глядає таким чином: С(вѧ)тии :м҃[:] ... за м[ѧ]... Святі 40 ... за мене...,"Кінець XІ – кінець ХІІ ст.; формою написання а з видовженою вгору спинкою, нахиленої ліворуч з із переломом та м з провисаючою петлею.",Молитовний напис.
509 ,"LХІV, 2","Висота від сучасної підлоги 89 см, відстань від лівого кута 110 см.","Доволі великий напис, витягнутий в один рядок, зберігся доволі добре, його складові чітко читаються: гипоⷨзирабусвоемуⷪпетрухромомуⷪмисативседоброе З розбивкою на слова текст виглядає таким чином: Г(оспод)и пом(о)зи рабу своемоу Петру хромомоу писати все доброе. Господи, поможи рабу своєму Петру кульгавому писати все добре.","Друга чверть – кінець XV ст.; формою написання а з видовженою вертикальною спинкою, и з діагональною перемичкою, прямолінійної р з петлею кутом донизу, а також за структурою формули.",Молитовний напис.
510 ,"LХV, 2","Висота від сучасної підлоги 92 см, відстань від лівого кута 107 см.","Незважаючи на пошкодження тиньку, напис зберігся доволі добре: тꙋтъ быⷧ раⷠ б͠жи | григор левоновиⷱ З відновленням пропущених фрагментів текст виглядає таким чином: Тꙋтъ был раб Б(о)жии Григор Левонович. Тут був раб Божий Григор Левонович. Особа автора наразі не ідентифікована, оскільки серед відомої на теренах Київ- щини шляхетської родини Левоновичів161 інформацію про Григорія віднайти не вдалося.",Кінець XVІ – кінець ХVІІ ст.; за скорописними формами написання літер та формою порізів.,Пам'ятний напис.
513 ,"LХVI, 1","Висота від сучасної підлоги 93 см, відстань від лівого кута 11 см.","Права частина напису знищена обвалом тиньку: ст͠м҃м----- | мол-- | ꙁамѧг-- | шьнаг---- З відновленням втрачених фрагментів текст виглядає таким чином: С(вѧ)ты(и) м҃ м[моученикъ] моли[те] за мѧ г[рѣ]шьнаг[о]. Святі 40 мучеників, моліть за мене грішного.","Кінець XІ – кінець ХІІ ст.; за формою написання а з видовженою вгору спинкою, нахиленої праворуч з із переломом, ш з платформою над рядком.",Молитовний напис.
514 ,"LХVI, 2","Висота від сучасної підлоги 143 см, відстань від лівого кута","Збереженість напису добра, його складові, незважаючи на дрібні пошкод- ження тиньку, чітко читаються: ст͠:м҃:молите | г͠аꙁамѧ З відновленням пропущених фрагментів текст виглядає таким чином: С(вѧ)ты(и) :м҃: молите Г(оспод)а за мѧ. Святі 40, моліть Господа за мене.","Друга чверть XІІ – початок ХІІІ ст.; за формою написання и, л, о та ѧ з покриттям та нахиленої праворуч Ъ-подібної з; найвірогідніше друга третина ХІІ ст.; за типовістю поширення таких палеографічних ознак.",Молитовний напис.
515 ,"LХVIІ, 1","Висота від сучасної підлоги 143 см, відстань від лівого кута","Збереженість напису добра, його складові гарно простежуються: ст͠:м҃: | моуче | нципо | молите | сѧꙁа | рабасво | егопе | тра З відновленням пропущених фрагментів текст виглядає таким чином: С(вѧ)ти :м҃: моученици помолитесѧ за раба своего Петра. Святі 40 мучеників, помоліться за раба свого Петра.","Кінець XІ – кінець ХІІ ст.; за формою написання а з видовженою вгору спинкою, в з округлою нижньою петлею, е з засічкою на язичку, нахиленої лі- воруч з із переломом, п з виступом зверху, прямолінійної р з округлою петлею, ц з платформою по низу рядка та широко розкритої ч.",Молитовний напис.
516 ,"LХVIIІ, 1","Висота від сучасної підлоги 114 см, відстань від лівого кута","Збереженість напису добра, майже всі його складові збереглись: -в͠тм҃моученикъ | молтезаменегрѣшъ | нагог͠а З розбивкою на слова та відновленням втрачених фрагментів текст виглядає таким чином: [С]в(ѧ)ти м҃ моученикъ молите за мене грѣшънаго Г(оспод)а. Святі 40 мучеників, моліть за мене, грішного, Господа.","Друга чверть XІІ – початок ХІІІ ст.; за формою написання а з ви- довженою спинкою, нахиленої праворуч з із переломом, прямолінійної р з петлею кутом вгору та ч у вигляді пласкої чаші; найвірогідніше друга третина ХІІ ст., відпо- відно до типовості поширення такої форми написання останньої літери",Молитовний напис.
517 ,"LХVIІ, 2","Висота від сучасної підлоги 112 см, відстань від лівого кута",Права частина напису не збереглась через затертість тиньку: ст͠167е ммоу------------ З розбивкою на слова та відновленням втрачених фрагментів наявний текст ви- глядає таким чином: С(вѧ)тие м моу[ченикъ]. Святі 40 мучеників.,Друга чверть XІ – перша третина ХІІІ ст.; за формою написання нахиленої праворуч е.,Молитовний напис.
518 ,"LХІХ, 1","Висота від сучасної підлоги 121 см, відстань від лівого кута","Збереженість напису добра, його складові чітко простежуються: ствонхв͠мол | теб͠азарабах͠ва | ꙁахароу З розбивкою на слова текст виглядає таким чином: С(вѧ)ти воини Х(ристо)ви молите Б(ог)а за раба Х(ристо)ва Захариоу. Святі воїни Христові, моліть Бога за раба Христова Захарію.","Середина XІІ – початок ХІІІ ст.; за формою написання а з видов- женою вгору спинкою, б з округлою петлею, нахиленої ліворуч з із переломом та із заломом хвоста, нахиленої праворуч е, прямолінійної р з петлею кутом вперед.",Молитовний напис.
519 ,"LХVІIІ, 2","Висота від сучасної підлоги 106 см, відстань від лівого кута","Збереженість напису відносно добра, його складові чітко читаються: ст͠м͠чнцмол | теб͠азамѧг З розбивкою на слова текст виглядає таким чином: С(вѧ)тии м(оу)ч(е)н(и)ци молите Б(ог)а за мѧ г{рѣшьнаго}. Святі мученики, моліть Бога за мене грішного. Напис лишився незакінченим.","Кінець XІ – кінець ХІІ ст.; за формою написання а з видовженою вгору спинкою, е з засічкою на язичку, вертикальної з із розвилкою, и, н, л, м та ѧ з до- вгими верхніми засічками, ч у вигляді кухлика.",Молитовний напис.
520 ,"LХХ, 1","Висота від сучасної підлоги 82 см, відстань від лівого кута 161 см.","Збереженість фрескового розчину в місці розташування напису добра, його складові чітко простежуються: св͠ѧтмоумоученц:м҃:молтеб͠а | ꙁаменегрѣшънагопетра З розбивкою на слова текст виглядає таким чином: Свѧти /моу/моученици :м҃: молите Б(ог)а ꙁа мене грѣшънаго Петра. Святі мученики 40, моліть Бога за мене, грішного Петра.","Друга чверть XІІ – початок ХІІІ ст.; за формою написання а з ви- довженою вгору спинкою, г з виступом зверху, нахиленої праворуч е, вертикальної з із переломом, п з виступом зверху, прямолінійної р з петлею кутом вперед, ч у вигляді пласкої чаші, ъ з петлею кутом вперед; найвірогідніше, друга третина ХІІ ст., за ти- повістю поширення такої форми ч.",Молитовний напис.
521 ,"LХХ, 2","Висота від сучасної підлоги 106 см, відстань від лівого кута 84 см.","Поверхня стіни в місці розташування напису затерта, частина його скла- дових не простежується: ст͠мммчн-- | молтеб͠а | ꙁамѧгрр | ---наго З розбивкою на слова та відновленням втрачених фрагментів текст виглядає таким чином: С(вѧ)ти м м(оу)чн(и)[къ] молите Б(ог)а за мѧ гр/р/[ѣшъ]аго. Святі 40 мучеників, моліть Бога за мене грішного. Звертає на себе увагу помилкове подвійне написання р у передостанньому рядку.","Остання чверть XІІ – початок ХІІІ ст.; за формою написання б з ви- сокою петлею, нахиленої праворуч з із переломом, р з маленькою голівкою.",Молитовний напис.
522 ,"LХХІ, 1","Висота від сучасної підлоги 108 см, відстань від лівого кута","Поверхня стіни в місці розташування напису сильно затерта, частина його складових не простежується: св͠ѧт | мюче | нц | -----еꙁа З розбивкою на слова та відновленням втрачених фрагментів текст виглядає таким чином: Свѧти мюченици [молит]е за... Святі мученики, моліть за...","Друга чверть XІ – початок ХІІ ст.; за формою написання в з петлею кутом вперед, Z-подібної з, и та ч з верхніми засічками, ю з довгою перемичкою, що перетинаю праву частину літери.",Молитовний напис.
523 ,"LХХІ, 2","Висота від сучасної підлоги 108 см, відстань від лівого кута","Поверхня стіни в місці розташування напису сильно затерта, частина його складових не простежується: ст͠м҃мчнбъдте | мо-тьб͠---м- З розбивкою на слова та відновленням втрачених фрагментів текст виглядає таким чином: С(вѧ)ти м҃ м(оу)ч(е)н(и)ци бъдите мо[л]ить Б(ог)[а за] м[ѧ]... Святі 40 мучеників, бдіть, моліть Бога за мене.","Остання третина XІІ ст.; за формою написання б з високою петлею та виступом зверху, д з довгими ніжками, м з провисаючою петлею та нахиленими щоглами, ч у вигляді пласкої чаші, ъ з виступом праворуч.",Молитовний напис.
524 ,"LХХ, 3","Висота від сучасної підлоги 98 см, відстань від лівого кута 192 см.","Напис зберігся доволі добре, його складові чітко простежуються: поменимꙗг͠и | рабасвоеготи— | мохвеѧиꙍ З розбивкою на слова текст виглядає таким чином: Помени мꙗ Г(оспод)и раба своего Тимохвеѧ Иꙍ(анова). Пом'яни мене, Господи, раба свого Тимофія Йоаннова. Останнє слово, що є скороченою формою від імені Йоанн, на мою думку до- цільніше розглядати не як родове ім'я автора, а як батькове.",Друга чверть XV – кінець ХVІ ст.; за скорописними формами на- писання літер та формою прорізів.,Молитовний напис.
525 ,"LХХІІ, 1","Висота від сучасної підлоги 97,5 см, відстань від лівого кута","На фресці прокреслений чотириконечний хрест, праві сторони кінців пе- рекладини та нижні сторони кінців щогли якого мають розширення трикутної або прямокутної форми.",Друга чверть XІ – кінець ХVІ ст.; за формою прорізів.,"Хрести, монограми, теонімограми."
526 ,"LХХІІ, 2","Висота від сучасної підлоги 84 см, відстань від лівого кута 96 см.","Поверхня стіни в місці розташування напису сильно затерта, частина його складових не простежується: ммоунцм--- | тез-гр---------- З розбивкою на слова та відновленням втрачених фрагментів наявний текст ви- глядає таким чином: ... м моу(че)ници м[оли]те за гр[ѣшънаго]... ... 40 мучеників моліть за грішного ...","Друга третина XІІІ ст.; за формою написання г з виступом зверху, нахиленої праворуч е з довгим язичком, з із переломом хвоста та прямолінійної р з петлею кутом донизу175.",Молитовний напис.
527 ,"LХХІІІ, 1","Висота від сучасної підлоги 87,5 см, відстань від лівого кута","Незважаючи на затертість тиньку та низький рельєф прорізів, складові напису простежуються доволі добре: ст͠м҃мⷱкъпомлоу-те З розбивкою на слова та відновленням втраченого фрагмента текст виглядає таким чином: С(вѧ)ти м҃ м(оу)ч(ени)къ помилоу[и]те. Святі 40 мучеників, помилуйте.","Друга чверть XІ – кінець ХІІ ст.; за формою написання нахиленої праворуч е, м з нижніми засічками, у зі зменшеним верхом; остання третина ХІІ ст., відповідно до типовості поширення таких форм літер.",Молитовний напис.
528 ,"LХХІІІ, 2","Висота від сучасної підлоги 86 см, відстань від лівого кута 191 см.","Нижня частина напису затерта, закінчення останнього рядка знищене об- валом тиньку, тим не менше, більша частина його складових визначається добре: мнцчетредесѧте | молтезамѧгрѣ | ш-аготаѫ- | о-а----- З розбивкою на слова та відновленням втрачених фрагментів текст виглядає таким чином: М(оуче)ници четыре десѧте молите за мѧ грѣш[ьн]аго та ѫ[б]о[г]а... Мученики сорок, моліть за мене, грішного та убогого...","Середина XІІ – початок ХІІІ ст.; за формою написання а з видов- женою спинкою, А-подібної д, вертикальної е, нахиленої ліворуч з із переломом, пря- молінійної р з петлею кутом вперед.",Молитовний напис.
529 ,LХХІV,"Висота від сучасної підлоги 81 см, відстань від лівого кута 352 см.","Нижня частина великого напису знищена обвалом тиньку, а частина збе- режених складових місцями пошкоджена вибоями та затерта: свѧ---мчнкъпомлоутемѧгр-шъна-о мщедатем-лостьбожьѭ----ъ-ѫ---- ѣнхъотъ-дс-------- -------------------------- З розбивкою на слова та відновленням втрачених фрагментів наявний текст ви- глядає таким чином: Свѧ[ти м] м(оу)ч(е)н(и)къ помилоуте мѧ гр[ѣ]шъна[г]о м(оучени)ще даите ми [м]илость Божью [от]ъ [м]ѫ[къ огн]ѣныхъ и отъ [а]дс[кихъ] ... Святі 40 мучеників, помилуйте мене грішного. Мученики, дайте мені милість Божу від мук вогняних і від пекельних ...","Друга чверть XІ – кінець ХІІ ст.; за формою написання а з видовженою спинкою з петлею із заломом або двома заломами, нахиленої праворуч, вертикальної або нахиленої ліворуч е, написаної у три змахи зіркоподібної ж, криволінійної р з округ- лою петлею, ы з високою перемичкою, дзеркального ѭ; найвірогідніше, друга чверть ХІІ ст. відповідно до типовості поширення таких палеографічних ознак.",Молитовний напис.
530 ,"LХХІІ, 3","Висота від сучасної підлоги 105,5 см, відстань від лівого кута","Поверхня стіни в місці розташування напису сильно затерта, частина його складових не простежується: ꙍст͠-͠чн--- | мол---за---- З розбивкою на слова та відновленням втрачених фрагментів наявний текст ви- глядає таким чином: ꙍ с(свѧ)ти [м](оу)ч(е)н[ици] мол[ите] за [мѧ]... О святі мученики, моліть за мене...","Середина ХІ – кінець XІІІ ст.; за формою написання а з опуклою петлею, вертикальної з із переломом та округлої ꙍ з верхніми засічками180.",Молитовний напис.
531 ,"LХІХ, 2","Висота від сучасної підлоги 93 см, відстань від лівого кута 316 см.","Поверхня стіни в місці розташування напису сильно затерта, простежу- ються тільки окремі його складові: стм м------------- З розбивкою на слова та відновленням втрачених фрагментів наявний текст ви- глядає таким чином: С(вѧ)ти м м(оуч)[н]и[къ]... Святі 40 мучеників...",Друга чверть XІ – кінець ХІІІ ст.; за формою написання м з прови- саючою петлею та нахиленими щоглами.,Молитовний напис.
532 ,"LХХV, 1","Висота від сучасної підлоги 97 см, відстань від лівого кута 401 см.",Поверхня стіни в місці розташування напису сильно затерта: ст----------о | лтеꙁарабасвоегооан- | грѣшънка З розбивкою на слова та відновленням втрачених фрагментів текст виглядає так: С(вѧ)ты[и] ... [м]олите за раба своего Иоан[а] грѣшъника. Святі ... моліть за раба свого Йоанна грішника.,"Середина XІІ ст.; за формою написання б з високою петлею, верти- кальної або нахиленої ліворуч е, нахиленої ліворуч з із переломом, криволінійної р з ок- руглою або кутом вперед петлею, ш з платформою над рядком, ы з низькою перемичкою.",Молитовний напис.
533 ,"LХХV, 2","Висота від сучасної підлоги 100 см, відстань від лівого кута",На фресці прокреслений чотириконечний хрест з розширеними у вигляді заглиблених крапок кінцями.,Друга чверть XІ – кінець XVI ст.; за формою прорізів.,"Хрести, монограми, теонімограми."
534 ,"LХХV, 3","Висота від сучасної підлоги 101,5 см, відстань від лівого кута",На фресці прокреслений чотириконечний хрест з розширеними у вигляді заглиблених крапок кінцями.,Друга чверть XІ – кінець XVI ст.; за формою прорізів.,"Хрести, монограми, теонімограми."
535 ,"LХХV, 4","Висота від сучасної підлоги 46,5 см, відстань від лівого кута",На фресці прокреслений простий чотириконечний хрест.,Друга чверть XІ – кінець XVI ст.; за формою прорізів.,"Хрести, монограми, теонімограми."
617 ,"LХХVІ, 1","Висота від сучасної підлоги 110 см, відстань від лівого кута","Через дворядковий напис проходить вертикальна тріщина, що нині за- шпакльована, яка пошкодила другу літеру у верхньому рядку і практично знищила другу – у нижньому; закінчення верхнього рядка також пошкоджене вибоєм, проте літера надійно ідентифікується за контурами вибою та збереженими фрагментами: овъстатъ | п-салъ З розбивкою на слова та відновленням втраченого фрагмента текст виглядає таким чином: Овъстатъ п[і]салъ. Овстат писав.","Кінець XІІ – початок XІІI ст.; за формою написання в з нижньою петлею кутом вперед, і з пересічкою (яка, власне, і зберіглася від літери), та ъ з вис- тупом праворуч.",Пам'ятний напис.
618 ,"LХХVІ, 2","Висота від сучасної підлоги 67 см, відстань від лівого кута 66 см.","Поверхня стіни в місці розташування напису затерта, права частина зни- щена обвалом тиньку: помꙗни гди р-б- | своѥ-- З розбивкою на слова та відновленням втрачених фрагментів наявний текст ви- глядає таким чином: Помꙗни Г(оспо)ди р[а]б[а] своѥ[го]... Пом'яни, Господи, раба свого...",Кінець XVІ – кінець XVІI ст.; за скорописними формами написання літер та формою прорізів.,Молитовний напис.
619 ,"LХХVІ, 3","Висота від сучасної підлоги 92 см, відстань від лівого кута 75 см.",На фресці прокреслене дієслово-прохання помꙗни 'помяни'.,Кінець XVІ – кінець XVІI ст.; за скорописними формами написання літер та формою прорізів.,Молитовний напис.
620 ,"LХХVІ, 4","Висота від сучасної підлоги 81,5 см, відстань від лівого кута 72 см.","На фресці прокреслене дієслово-прохання помꙗни 'помяни' у верхньому рядку та літера н у нижньому, можливо, ініціал або недописане ім'я автора напису.",Кінець XVІ – кінець XVІI ст.; за скорописними формами написання літер та формою прорізів.,Молитовний напис.
621 ,"LХХVІІ, 1","Висота від сучасної підлоги 104 см, відстань від лівого кута",На фресці прокреслені літери NW.,Кінець XVІ – кінець XVІI ст.; за формою прорізів.,"Абетки, склади та окремі літери."
622 ,"LХХVІІ, 2","Висота від сучасної підлоги 95,5 см, відстань від лівого кута","На фресці прокреслені особове та родове імена автора Иванъ Рогаⷱ 'Іван Рогач'. Особа автора наразі не ідентифікована. Найвірогідніше, що Іван походив з київських міщан.",Кінець XVІ – кінець XVІI ст.; за скорописними формами написання літер та формою прорізів.,Пам'ятний напис.
623 ,"LХХVІІ, 3","Висота від сучасної підлоги 96 см, відстань від лівого кута 113 см.",На фресці прокреслена літера Ꙁ.,Друга чверть XІ – кінець XV ст.; за формою написання нахиленої праворуч з із розвилкою.,"Абетки, склади та окремі літери."
624 ,"LХХVІІ, 4","Висота від сучасної підлоги 81 см, відстань від лівого кута 99 см.","На фресці простежується дієслово-звернення помоги 'поможи' та щогла літери за нею, яка може інтерпретуватись як ініціал І або недописане ім'я автора.",Кінець XVІ – кінець XVІI ст.; за скорописними формами написання літер та формою прорізів.,Молитовний напис.
625 ,"LХХVІІІ, 1","Висота від сучасної підлоги 108,5 см, відстань від лівого кута",На фресці прокреслена літера А.,Друга чверть XІ – кінець XІI ст.; за формою написання літери з ви- довженою спинкою.,"Абетки, склади та окремі літери."
664 ,"LХХVІІІ, 2","Висота від сучасної підлоги 144 см, відстань від лівого кута",На фресці прокреслене слово рабъ 'раб'.,Кінець XVІ – кінець XVІI ст.; за скорописними формами написання літер та формою прорізів.,Окремі слова та словосполучення.
665 ,"LХХVІІІ, 3","Висота від сучасної підлоги 144 см, відстань від лівого кута","На фресці тим же автором прокреслені літери РА, вочевидь, незавершене слово ра{бъ} 'раб'.",Кінець XVІ – кінець XVІI ст.; за скорописними формами написання літер та формою прорізів.,Окремі слова та словосполучення.
666 ,"LХХVІІІ, 4","Висота від сучасної підлоги 138 см, відстань від лівого кута","На фресці знаходиться малюнок простого чотириконечного хреста, над яким прокреслене відкрите донизу півколо.",Друга чверть XІ – кінець XVI ст.; за формою прорізів.,"Хрести, монограми, теонімограми."
667 ,"LХХVІІІ, 5","Висота від сучасної підлоги 129 см, відстань від лівого кута","На фресці знаходиться малюнок простого чотириконечного хреста, впи- саного до відкритого донизу напівовала. Над фігурою тією ж рукою прокреслений ще один простий чотириконечний хрест.",Друга чверть XІ – кінець XVI ст.; за формою прорізів.,"Хрести, монограми, теонімограми."
