,Датування,B-dating_criteria
11204,виглядає,O
11205,відно,O
11206,до,O
11207,типовості,O
11208,поширення,O
11209,такої,O
11210,форми,O
11211,написання,O
11212,останньої,O
11213,літери,O
11214,Графіті,B-inscription
11215,№,O
11216,564,O
11217,табл,O
11218,LІІ,O
11219,5,O
11220,Розташування,B-other
11221,Висота,O
11222,від,O
11223,сучасної,O
11224,підлоги,O
11225,118,O
11226,см,O
11227,відстань,O
11228,від,O
11229,правого,O
11230,ребра,O
11231,Категорія,O
11232,Молитовний,O
11233,напис,I-inscription_type
11234,-оменгⷣрабꙋсвоюѯѣ-юрабꙋсвоюꙍгафю,O
11235,ження,O
11236,тиньку,O
11237,його,O
11238,складові,O
11239,чітко,O
11240,простежуються,O
11241,Графіті,B-inscription
11242,№,O
11243,4265,O
11244,табл,O
11245,ХІV,O
11246,6,O
11247,Графіті,B-inscription
11248,№,O
11249,603,O
11250,табл,O
11251,ХХІІІ,O
11252,1,O
11253,Опис,B-inscription
11254,На,O
11255,фресці,I-inscription_type
11256,прокреслене,O
11257,особове,O
11258,та,O
11259,родове,O
11260,імена,O
11261,автора,O
11262,Piotr,O
11263,Jasnoborsky,O
11264,таким,O
11265,чином,O
11266,та,O
11267,ноги,O
11268,тварини,O
11269,креслений,O
11270,малюнок,B-decoration
11271,хреста,O
11272,якоря,O
11273,Графіті,B-inscription
11274,№,O
11275,4287,O
11276,табл,O
11277,ХСVІІ,O
11278,4,O
11279,Розташування,B-other
11280,Висота,O
11281,від,O
11282,сучасної,O
11283,підлоги,O
11284,96,O
11285,см,O
11286,відстань,O
11287,від,O
11288,правого,O
11289,ребра,O
11290,Графіті,B-inscription
11291,№,O
11292,435,O
11293,табл,O
11294,ХХХІ,O
11295,2,O
11296,Графіті,B-inscription
11297,№,O
11298,719а,O
11299,табл,O
11300,ХСІІІ,O
11301,2,O
11302,Розташування,B-other
11303,Висота,O
11304,від,O
11305,сучасної,O
11306,підлоги,O
11307,108	5,O
11308,см,O
11309,відстань,O
11310,від,O
11311,лівого,O
11312,кута,O
11313,незавершеної,O
11314,або,O
11315,пошкодженої,O
11316,літери,O
11317,М.,O
11318,Тобто,O
11319,тут,O
11320,знаходиться,O
11321,незавершена,O
11322,тради-,O
11323,Датування,B-dating_criteria
11324,Друга,O
11325,чверть,O
11326,XІ,O
11327,кінець,O
11328,XVI,O
11329,ст.,O
11330,за,O
11331,формою,O
11332,прорізів,O
11333,був,O
11334,зразком,O
11335,граф'ї,O
11336,для,O
11337,орнаментування,O
11338,фасаду,O
11339,вежі,I-object_type
11340,проте,O
11341,в,O
11342,подальшому,O
11343,майстри,O
11344,Категорія,O
11345,Абетки,O
11346,склади,O
11347,та,O
11348,окремі,O
11349,літери,O
11350,Тꙋтъ,O
11351,был,O
11352,раб,O
11353,Б(о)жии,O
11354,Григор,O
11355,Левонович,O
11356,Оскільки,O
11357,закінчення,O
11358,напису,I-preservation_state
11359,знищене,O
11360,обвалом,O
11361,тиньку,O
11362,то,O
11363,встановити,O
11364,родове,O
11365,ім'я,O
11366,Пом'яни,O
11367,свого,O
11368,Романа,O
11369,Господи,O
11370,Опис,B-inscription
11371,Напис,O
11372,виконаний,O
11373,дрібними,O
11374,літерами,O
11375,частково,O
11376,пошкоджений,O
11377,вибоями,O
11378,та,O
11379,Датування,B-dating_criteria
11380,Остання,O
11381,чверть,O
11382,ХІІ,O
11383,кінець,O
11384,XІІІ,O
11385,ст.,O
11386,за,O
11387,формою,O
11388,написання,O
11389,п,O
11390,з,I-object_type
11391,вис-,O
11392,пом,O
11393,зверху,O
11394,кальної,O
11395,або,O
11396,нахиленої,O
11397,ліворуч,O
11398,е,O
11399,нахиленої,O
11400,ліворуч,O
11401,з,I-object_type
11402,із,O
11403,переломом,O
11404,криволінійної,O
11405,р,O
11406,з,I-object_type
11407,ок-,O
11408,Розташування,B-other
11409,Висота,O
11410,від,O
11411,сучасної,O
11412,підлоги,O
11413,112,O
11414,см,O
11415,відстань,O
11416,від,O
11417,лівого,O
11418,кута,O
11419,27,O
11420,см,O
11421,Графіті,B-inscription
11422,№,O
11423,529,O
11424,табл,O
11425,LХХІV,O
11426,Особа,O
11427,автора,O
11428,наразі,O
11429,не,O
11430,ідентифікована,O
11431,оскільки,O
11432,серед,O
11433,відомої,O
11434,на,I-inscription_type
11435,теренах,O
11436,Київ-,O
11437,формами,O
11438,написання,O
11439,літер,O
11440,ІІІ.1,O
11441,Графіті,B-inscription
11442,на,I-inscription_type
11443,мармуровій,O
11444,колоні,O
11445,у,I-object_type
11446,північній,O
11447,частині,O
11448,нартексу,O
11449,літера,O
11450,надійно,O
11451,ідентифікується,O
11452,за,O
11453,контурами,O
11454,вибою,O
11455,та,O
11456,збереженими,O
11457,фрагментами,O
11458,Категорія,O
11459,Пам'ятний,O
11460,напис,I-inscription_type
11461,Зважаючи,O
11462,на,I-inscription_type
11463,значні,O
11464,втрати,O
11465,впевненій,O
11466,реконструкції,O
11467,підлягає,O
11468,тільки,O
11469,початок,O
11470,женою,O
11471,спинкою,O
11472,та,O
11473,нахиленої,O
11474,праворуч,O
11475,е,O
11476,можливий,O
11477,смисловий,O
11478,зв'язок,O
11479,з,I-object_type
11480,написом,O
11481,№,O
11482,488,O
11483,Датування,B-dating_criteria
11484,Кінець,O
11485,ХVІ,O
11486,кінець,O
11487,XVIІ,O
11488,ст.,O
11489,за,O
11490,скорописними,O
11491,формами,O
11492,написання,O
11493,Опис,B-inscription
11494,Поверхня,O
11495,стіни,I-object_type
11496,в,O
11497,місці,O
11498,розташування,O
11499,напису,I-preservation_state
11500,пошкоджена,O
11501,вибоями,O
11502,та,O
11503,за-,O
11504,Розташування,B-other
11505,Висота,O
11506,від,O
11507,сучасної,O
11508,підлоги,O
11509,112,O
11510,см,O
11511,відстань,O
11512,від,O
11513,правого,O
11514,ребра,O
11515,Опис,B-inscription
11516,Поверхя,O
11517,стіни,I-object_type
11518,в,O
11519,місці,O
11520,розташування,O
11521,напису,I-preservation_state
11522,сильно,O
11523,пошкоджена,O
11524,тож,O
11525,час-,O
11526,Розташування,B-other
11527,Висота,O
11528,від,O
11529,сучасної,O
11530,підлоги,O
11531,45,O
11532,см,O
11533,відстань,O
11534,від,O
11535,лівого,O
11536,кута,O
11537,35,O
11538,см,O
11539,Опис,B-inscription
11540,На,O
11541,поверхні,O
11542,фрескового,O
11543,тиньку,O
11544,прокреслений,B-decoration
11545,чотириконечний,I-decoration
11546,хрест,I-decoration
11547,з,I-object_type
11548,дові,O
11549,теонімограми,O
11550,ІС,O
11551,ХС,O
11552,вгорі,O
11553,та,O
11554,НИ,O
11555,КА,O
11556,внизу,O
11557,кілька,O
11558,осіб,O
11559,з,I-object_type
11560,таким,O
11561,ім'ям,O
11562,які,O
11563,теоретично,O
11564,могли,O
11565,залишити,O
11566,свій,O
11567,автограф,O
11568,на,I-inscription_type
11569,стіні,I-object_type
11570,Свя-,O
11571,імена,O
11572,автора,O
11573,Maciej,O
11574,Domansky,O
11575,Мацей,O
11576,Доманський,O
11577,Розташування,B-other
11578,Висота,O
11579,від,O
11580,сучасної,O
11581,підлоги,O
11582,100,O
11583,см,O
11584,відстань,O
11585,від,O
11586,лівого,O
11587,кута,O
11588,Блѫдъ,O
11589,сътворихъ,O
11590,въ,O
11591,свѧтъ,O
11592,дьнь,O
11593,Категорія,O
11594,Молитовний,O
11595,напис,I-inscription_type
11596,З,O
11597,відновленням,O
11598,втрачених,O
11599,фрагментів,O
11600,текст,O
11601,виглядає,O
11602,таким,O
11603,чином,O
11604,Категорія,O
11605,Хрести,O
11606,монограми,O
11607,теонімограми,O
11608,Опис,B-inscription
11609,На,O
11610,фресці,I-inscription_type
11611,прокреслений,B-decoration
11612,квадрат,O
11613,з,I-object_type
11614,крапкою,O
11615,посередині,O
11616,Розташування,B-other
11617,Висота,O
11618,від,O
11619,сучасної,O
11620,підлоги,O
11621,115,O
11622,см,O
11623,відстань,O
11624,від,O
11625,лівого,O
11626,кута,O
11627,Графіті,B-inscription
11628,№,O
11629,446,O
11630,табл,O
11631,ХХХІІІ,O
11632,1,O
11633,Опис,B-inscription
11634,На,O
11635,фресці,I-inscription_type
11636,прокреслений,B-decoration
11637,простий,O
11638,чотириконечний,I-decoration
11639,хрест,I-decoration
11640,реглись,O
11641,добре,O
11642,і,O
11643,чітко,O
11644,простежуються,O
11645,завдяки,O
11646,чому,O
11647,можемо,O
11648,встановити,O
11649,що,O
11650,тут,O
11651,була,O
11652,Категорія,O
11653,Молитовний,O
11654,напис,I-inscription_type
11655,знаходиться,O
11656,вибій,O
11657,який,O
11658,за,O
11659,контурами,O
11660,дозволяє,O
11661,реконструювати,O
11662,тут,O
11663,літеру,O
11664,У,O
11665,або,O
11666,Р,O
11667,за,O
11668,Графіті,B-inscription
11669,№,O
11670,4323,O
11671,табл,O
11672,СVІІІ,O
11673,1,O
11674,Графіті,B-inscription
11675,№,O
11676,608б,O
11677,табл,O
11678,ХХV,O
11679,4,O
11680,дових,O
11681,не,O
11682,простежується,O
11683,З,O
11684,розбивкою,O
11685,на,I-inscription_type
11686,слова,O
11687,текст,O
11688,виглядає,O
11689,таким,O
11690,чином,O
11691,Розташування,B-other
11692,Висота,O
11693,від,O
11694,сучасної,O
11695,підлоги,O
11696,106,O
11697,см,O
11698,відстань,O
11699,від,O
11700,лівого,O
11701,кута,O
11702,праворуч,O
11703,е,O
11704,м,O
11705,з,I-object_type
11706,нижніми,O
11707,засічками,O
11708,у,I-object_type
11709,зі,O
11710,зменшеним,O
11711,верхом,O
11712,остання,O
11713,третина,O
11714,ХІІ,O
11715,ст.,O
11716,конструювати,O
11717,як,O
11718,молитовне,I-inscription_type
11719,звернення,I-inscription_type
11720,Г(оспод)и,O
11721,п[омози,O
11722,Господи,O
11723,поможи,O
11724,Категорія,O
11725,Фрагмент,O
11726,напису,I-preservation_state
11727,настирському,O
11728,цвинтарі,O
11729,А,O
11730,для,O
11731,надгробку,O
11732,використали,O
11733,мармурову,O
11734,деталь,I-decoration
11735,з,I-object_type
11736,собору,O
11737,у,I-object_type
11738,Стефан,O
11739,Іванович,O
11740,Категорія,O
11741,Абетки,O
11742,склади,O
11743,та,O
11744,окремі,O
11745,літери,O
11746,З,O
11747,відновленням,O
11748,пропущених,O
11749,фрагментів,O
11750,текст,O
11751,виглядає,O
11752,таким,O
11753,чином,O
11754,Пом'яни,O
11755,Григорія,O
11756,Романа,O
11757,Федора,O
11758,Олексія,O
11759,Йоанна,O
11760,Опис,B-inscription
11761,Ліва,O
11762,частина,I-other
11763,напису,I-preservation_state
11764,знищена,O
11765,обвалом,O
11766,тиньку,O
11767,проте,O
11768,в,O
11769,цілому,O
11770,збереже-,O
11771,потім,O
11772,західної,O
11773,зовнішньої,O
11774,та,O
11775,західної,O
11776,внутрішньої,O
11777,галерей,O
11778,Оскільки,O
11779,окрім,O
11780,чотирьох,O
11781,Пом'яни,O
11782,Івана,O
11783,щальні,O
11784,Структура,O
11785,фрескового,O
11786,тиньку,O
11787,ХІІ,O
11788,ст.,O
11789,визначається,O
11790,крихкістю,O
11791,тому,O
11792,по-,O
11793,ОписПрава,O
11794,частина,I-other
11795,напису,I-preservation_state
11796,знищена,O
11797,обвалом,O
11798,тиньку,O
11799,за,O
11800,збереженими,O
11801,фрагмен-,O
11802,Розташування,B-other
11803,Висота,O
11804,від,O
11805,сучасної,O
11806,підлоги,O
11807,86,O
11808,см,O
11809,відстань,O
11810,від,O
11811,лівого,O
11812,кута,O
11813,19,O
11814,см,O
11815,Опис,B-inscription
11816,Збереженість,O
11817,напису,I-preservation_state
11818,дуже,O
11819,добра,I-inscription_type
11820,всі,O
11821,його,O
11822,складові,O
11823,чітко,O
11824,простежуються,O
11825,району,O
11826,Київської,O
11827,області,O
11828,Розташування,B-other
11829,Висота,O
11830,від,O
11831,сучасної,O
11832,підлоги,O
11833,77,O
11834,см,O
11835,відстань,O
11836,від,O
11837,лівого,O
11838,кута,O
11839,395,O
11840,см,O
11841,таким,O
11842,чином,O
11843,формами,O
11844,написання,O
11845,літер,O
11846,Датування,B-dating_criteria
11847,Середина,O
11848,ХІІ,O
11849,остання,O
11850,чверть,O
11851,ХІІІ,O
11852,ст.,O
11853,за,O
11854,формою,O
11855,написання,O
11856,дзер-,O
11857,літера,O
11858,Л,O
11859,або,O
11860,права,O
11861,частина,I-other
11862,літери,O
11863,М.,O
11864,Розташування,B-other
11865,Висота,O
11866,від,O
11867,сучасної,O
11868,підлоги,O
11869,114,O
11870,см,O
11871,відстань,O
11872,від,O
11873,лівого,O
11874,кута,O
11875,ще,O
11876,один,O
11877,простий,O
11878,чотириконечний,I-decoration
11879,хрест,I-decoration
11880,ної,O
11881,р,O
11882,з,I-object_type
11883,округлою,O
11884,петлею,O
11885,та,O
11886,ш,O
11887,з,I-object_type
11888,платформою,O
11889,над,O
11890,рядком,O
11891,кута,O
11892,стіни,I-object_type
11893,410,O
11894,см,O
11895,У,O
11896,день,O
11897,Категорія,O
11898,Підпис,O
11899,до,O
11900,фрескового,O
11901,образу,O
11902,Категорія,O
11903,Зображення,O
11904,ангелів,O
11905,та,O
11906,святих,O
11907,Датування,B-dating_criteria
11908,Друга,O
11909,чверть,O
11910,ХІ,O
11911,початок,O
11912,ХІV,O
11913,ст.,O
11914,за,O
11915,формою,O
11916,написання,O
11917,прямолі-,O
11918,Розташування,B-other
11919,Висота,O
11920,від,O
11921,сучасної,O
11922,підлоги,O
11923,83,O
11924,см,O
11925,відстань,O
11926,від,O
11927,правого,O
11928,ребра,O
11929,риконечного,O
11930,хреста,O
11931,кінці,O
11932,якого,O
11933,розширюються,O
11934,у,I-object_type
11935,вигляді,O
11936,трикутників,O
11937,Перехрестя,O
11938,Опис,B-inscription
11939,Напис,O
11940,виконаний,O
11941,доволі,O
11942,великими,O
11943,літерами,O
11944,тож,O
11945,незважаючи,O
11946,на,I-inscription_type
11947,пошкод-,O
11948,помѥнірабаП,O
11949,ливо,O
11950,під,I-object_type
11951,час,O
11952,відбудовчих,O
11953,робіт,O
11954,за,O
11955,гетьмана,O
11956,Івана,O
11957,Мазепи,O
11958,мармурові,O
11959,колони,O
11960,планувалось,O
11961,г͠помо,O
11962,|,O
11963,ꙁ,O
11964,|,O
11965,нетⷭо--,O
11966,|,O
11967,в,O
11968,ставити,O
11969,таким,O
11970,чином,O
11971,Публікації,O
11972,В.,O
11973,Корнієнко91,O
11974,Датування,B-dating_criteria
11975,Друга,O
11976,чверть,O
11977,ХІ,O
11978,кінець,O
11979,ХІІІ,O
11980,ст.,O
11981,за,O
11982,формою,O
11983,написання,O
11984,вертикаль-,O
11985,Розташування,B-other
11986,Висота,O
11987,від,O
11988,сучасної,O
11989,підлоги,O
11990,63,O
11991,см,O
11992,відстань,O
11993,від,O
11994,лівого,O
11995,кута,O
11996,15,O
11997,см,O
11998,Категорія,O
11999,Молитовний,O
12000,напис,I-inscription_type
12001,Десятинної,O
12002,церкви,O
12003,яка,O
12004,походить,O
12005,з,I-object_type
12006,розкопок,O
12007,1824,O
12008,чи,O
12009,1826,O
12010,рр.43,O
12011,Однак,O
12012,тільки,O
12013,за,O
12014,від-,O
12015,З,O
12016,розбивкою,O
12017,на,I-inscription_type
12018,слова,O
12019,та,O
12020,відновленням,O
12021,втрачених,O
12022,фрагментів,O
12023,текст,O
12024,виглядає,O
12025,вих,O
12026,не,O
12027,простежується,O
12028,Графіті,B-inscription
12029,№,O
12030,519,O
12031,табл,O
12032,LХVІIІ,O
12033,2,O
12034,Категорія,O
12035,Хрести,O
12036,монограми,O
12037,теонімограми,O
12038,Категорія,O
12039,Пам'ятний,O
12040,напис,I-inscription_type
12041,леної,O
12042,праворуч,O
12043,з,I-object_type
12044,із,O
12045,переломом,O
12046,або,O
12047,вертикальної,O
12048,із,O
12049,розвилкою,O
12050,прямолінійної,O
12051,р,O
12052,з,I-object_type
12053,пет-,O
12054,Графіті,B-inscription
12055,№,O
12056,488,O
12057,табл,O
12058,ХХ,O
12059,1,O
12060,заглиблених,O
12061,крапок,O
12062,кінцями,O
12063,Графіті,B-inscription
12064,№,O
12065,582,O
12066,табл,O
12067,ХL,O
12068,2,O
12069,доволі,O
12070,добре,O
12071,пом,O
12072,н,O
12073,|,O
12074,ст-,O
12075,|,O
12076,ан,O
12077,|,O
12078,мос,O
12079,по[моз]и,O
12080,Господи,O
12081,поможи,O
12082,СО,O
12083,та,O
12084,фрагмент,O
12085,дуги,O
12086,ще,O
12087,однієї,O
12088,літери,O
12089,за,O
12090,ними,O
12091,турное,O
12092,наследство,O
12093,58,O
12094,2013,O
12095,15–30,O
12096,Рівна,O
12097,поверхня,O
12098,тиньку,O
12099,за,O
12100,останньою,O
12101,літерою,O
12102,свідчить,O
12103,що,O
12104,графіті,B-inscription_type
12105,залишилось,O
12106,Датування,B-dating_criteria
12107,Друга,O
12108,чверть,O
12109,XІ,O
12110,кінець,O
12111,ХVІ,O
12112,ст.,O
12113,за,O
12114,формою,O
12115,прорізів,O
12116,Опис,B-inscription
12117,На,O
12118,поверхні,O
12119,стіни,I-object_type
12120,прокреслена,O
12121,літера,O
12122,Ж.,O
12123,тексту,O
12124,С.,O
12125,Висоцьким46,O
12126,означене,O
12127,графіті,B-inscription_type
12128,пояснює,O
12129,сенс,O
12130,зображеного,O
12131,на,I-inscription_type
12132,фресці,I-inscription_type
12133,Публікації,O
12134,В.,O
12135,Корнієнко181,O
12136,Розташування,B-other
12137,Знаходиться,O
12138,на,I-inscription_type
12139,личкувальному,O
12140,розчині,O
12141,фасадної,O
12142,стіни,I-object_type
12143,північ-,O
12144,Категорія,O
12145,Підпис,O
12146,до,O
12147,фрескового,O
12148,образу,O
12149,них,O
12150,поминальних,O
12151,служб,O
12152,Точну,O
12153,кількість,O
12154,вертикальних,O
12155,засічок,O
12156,з,I-object_type
12157,яких,O
12158,він,O
12159,склада-,O
12160,формами,O
12161,написання,O
12162,літер,O
12163,Розташування,B-other
12164,Висота,O
12165,від,O
12166,сучасної,O
12167,підлоги,O
12168,99,O
12169,см,O
12170,відстань,O
12171,від,O
12172,лівого,O
12173,кута,O
12174,505,O
12175,см,O
12176,напису,I-preservation_state
12177,простежуються,O
12178,доволі,O
12179,добре,O
12180,щеним,O
12181,хвостом,O
12182,та,O
12183,особливостями,O
12184,розташування,O
12185,Розташування,B-other
12186,Висота,O
12187,від,O
12188,сучасної,O
12189,підлоги,O
12190,86,O
12191,см,O
12192,відстань,O
12193,від,O
12194,лівого,O
12195,кута,O
12196,16,O
12197,см,O
12198,Категорія,O
12199,Пам'ятний,O
12200,напис,I-inscription_type
12201,Категорія,O
12202,Фрагмент,O
12203,напису,I-preservation_state
12204,нау--------,O
12205,|,O
12206,аꙁъб,O
12207,га,O
12208,ы,O
12209,|,O
12210,79стхъмвоі,O
12211,|,O
12212,мі,O
12213,лікований,O
12214,Загалом,O
12215,же,O
12216,збереженість,B-preservation_state
12217,напису,I-preservation_state
12218,добра,I-inscription_type
12219,його,O
12220,складові,O
12221,чітко,O
12222,читаються,O
12223,середина,O
12224,нижньої,O
12225,частини,O
12226,щогли,I-object_type
12227,з'єднані,O
12228,скісними,O
12229,відрізками,O
12230,таким,O
12231,чином,O
12232,що,O
12233,ут-,O
12234,Помени,O
12235,Стеа[н]а,O
12236,Категорія,O
12237,Молитовний,O
12238,напис,I-inscription_type
12239,Категорія,O
12240,Молитовний,O
12241,напис,I-inscription_type
12242,Датування,B-dating_criteria
12243,Друга,O
12244,чверть,O
12245,ХІ,O
12246,кінець,O
12247,XVI,O
12248,ст.,O
12249,за,O
12250,формою,O
12251,прорізів,O
12252,Датування,B-dating_criteria
12253,Кінець,O
12254,ХVІ,O
12255,початок,O
12256,XVII,O
12257,ст.,O
12258,за,O
12259,формою,O
12260,прорізів,O
12261,та,O
12262,скоропис-,O
12263,вого,O
12264,та,O
12265,родового,O
12266,імен,O
12267,автора,O
12268,Stanislaw,O
12269,Jagocki,O
12270,Станіслав,O
12271,Ягоцький,O
12272,22-ге,O
12273,приставився,O
12274,раб,O
12275,Божий,O
12276,Фома,O
12277,З,O
12278,розбивкою,O
12279,на,I-inscription_type
12280,слова,O
12281,та,O
12282,відновленням,O
12283,втрачених,O
12284,фрагментів,O
12285,текст,O
12286,виглядає,O
12287,Опис,B-inscription
12288,Збереженість,O
12289,напису,I-preservation_state
12290,добра,I-inscription_type
12291,його,O
12292,складові,O
12293,чітко,O
12294,читаються,O
12295,Графіті,B-inscription
12296,№,O
12297,4308,O
12298,табл,O
12299,СІV,O
12300,5,O
12301,Датування,B-dating_criteria
12302,Кінець,O
12303,ХVІ,O
12304,кінець,O
12305,XVII,O
12306,ст.,O
12307,за,O
12308,формою,O
12309,прорізів,O
12310,та,O
12311,фактом,O
12312,вжи-,O
12313,піддається,O
12314,повній,O
12315,реконструкції,O
12316,Датування,B-dating_criteria
12317,Остання,O
12318,чверть,O
12319,ХVI,O
12320,третя,O
12321,чверть,O
12322,XVII,O
12323,ст.,O
12324,за,O
12325,хронологією,O
12326,ком-,O
12327,Графіті,B-inscription
12328,№,O
12329,709,O
12330,табл,O
12331,LХХХVIІІ,O
12332,2,O
12333,Графіті,B-inscription
12334,№,O
12335,4307,O
12336,табл,O
12337,СІV,O
12338,4,O
12339,Датування,B-dating_criteria
12340,Середина,O
12341,ХІ,O
12342,кінець,O
12343,ХІІ,O
12344,ст.,O
12345,за,O
12346,формою,O
12347,написання,O
12348,а,O
12349,з,I-object_type
12350,округлою,O
12351,Розташування,B-other
12352,Висота,O
12353,від,O
12354,основи,O
12355,100,O
12356,см,O
12357,Опис,B-inscription
12358,На,O
12359,поверхні,O
12360,фрески,I-object_type
12361,помітні,O
12362,літери,O
12363,ꙌА.,O
12364,Зважаючи,O
12365,на,I-inscription_type
12366,наявність,O
12367,титла,O
12368,та,O
12369,Пом[ѧн]и,O
12370,Г(оспод)и,O
12371,р[а]б[а,O
12372,свое[го,O
12373,редньовічного,O
12374,Києва,O
12375,складно,O
12376,Тож,O
12377,вірогідніше,O
12378,що,O
12379,колона,I-object_type
12380,походить,O
12381,все,O
12382,ж,O
12383,з,I-object_type
12384,ється,O
12385,встановити,O
12386,не,O
12387,вдається,O
12388,Закінчення,O
12389,рядка,O
12390,дугою,O
12391,вигинається,O
12392,вгору,O
12393,Датування,B-dating_criteria
12394,Друга,O
12395,чверть,O
12396,ХІI,O
12397,кінець,O
12398,XVI,O
12399,ст.,O
12400,за,O
12401,формою,O
12402,прорізів,O
12403,Через,O
12404,низку,O
12405,втрат,O
12406,повна,O
12407,реконструкція,O
12408,тексту,O
12409,ускладнена,O
12410,відновленню,O
12411,підля-,O
12412,Публікації,O
12413,В.,O
12414,Корнієнко33,O
12415,реглись,O
12416,зонтальною,O
12417,перемичкою,O
12418,та,O
12419,структурою,O
12420,формули,O
12421,вибоями,O
12422,простежується,O
12423,літера,O
12424,А,O
12425,щогла,B-object_type
12426,іншої,O
12427,літери,O
12428,за,O
12429,нею,O
12430,та,O
12431,фрагмент,O
12432,ще,O
12433,однієї,O
12434,Датування,B-dating_criteria
12435,Друга,O
12436,чверть,O
12437,XІІ,O
12438,початок,O
12439,XІІI,O
12440,ст.,O
12441,за,O
12442,формою,O
12443,написання,O
12444,а,O
12445,з,I-object_type
12446,видов-,O
12447,ст͠167е,O
12448,ммоу------------,O
12449,Опис,B-inscription
12450,Напис,O
12451,сильно,O
12452,пошкоджений,O
12453,вибоями,O
12454,тому,O
12455,частина,I-other
12456,складових,O
12457,у,I-object_type
12458,середній,O
12459,Графіті,B-inscription
12460,№,O
12461,4316,O
12462,табл,O
12463,СVІ,O
12464,3,O
12465,щини,O
12466,шляхетської,O
12467,родини,O
12468,Левоновичів161,O
12469,інформацію,O
12470,про,O
12471,Григорія,O
12472,віднайти,O
12473,не,O
12474,вдалося,O
12475,зонтальною,O
12476,перемичкою,O
12477,та,O
12478,за,O
12479,структурою,O
12480,формули,O
12481,Графіті,B-inscription
12482,№,O
12483,684,O
12484,табл,O
12485,LХХХІ,O
12486,5,O
12487,його,O
12488,складових,O
12489,не,O
12490,простежується,O
12491,Олътарь,O
12492,пламѧны,O
12493,а,O
12494,цркы,O
12495,ледѧна,O
12496,и,O
12497,олътарь,O
12498,погаснетъ,O
12499,Г(осподни)и,O
12500,церкы,O
12501,ростаѥть,O
12502,Графіті,B-inscription
12503,№,O
12504,481,O
12505,табл,O
12506,ХLV,O
12507,5,O
12508,його,O
12509,складовими,O
12510,можна,O
12511,реконструювати,O
12512,тут,O
12513,слово,O
12514,п[омѧн]и,O
12515,пом'яни,O
12516,Опис,B-inscription
12517,На,O
12518,фресці,I-inscription_type
12519,прокреслені,O
12520,особове,O
12521,та,O
12522,родове,O
12523,імена,O
12524,автора,O
12525,Иванъ,O
12526,Рогаⷱ,O
12527,Іван,O
12528,таким,O
12529,чином,O
12530,Опис,B-inscription
12531,На,O
12532,поверхні,O
12533,мармурової,O
12534,колони,O
12535,прокреслений,B-decoration
12536,простий,O
12537,чотириконечний,I-decoration
12538,Графіті,B-inscription
12539,№,O
12540,4271(табл,O
12541,ХVІ,O
12542,2,O
12543,самою,O
12544,червоною,O
12545,фарбою,O
12546,Датування,B-dating_criteria
12547,Друга,O
12548,чверть,O
12549,XІ,O
12550,кінець,O
12551,ХІІ,O
12552,ст.,O
12553,за,O
12554,формою,O
12555,написання,O
12556,нахиленої,O
12557,Розташування,B-other
12558,Висота,O
12559,від,O
12560,сучасної,O
12561,підлоги,O
12562,107,O
12563,см,O
12564,відстань,O
12565,від,O
12566,правого,O
12567,ребра,O
12568,припустити,O
12569,що,O
12570,невідомий,O
12571,автор,O
12572,намагався,O
12573,зобразити,O
12574,сюжет,O
12575,побачений,O
12576,ним,O
12577,у,I-object_type
12578,стінах,O
12579,його,O
12580,складові,O
12581,чітко,O
12582,читаються,O
12583,Опис,B-inscription
12584,На,O
12585,фресці,I-inscription_type
12586,прокреслений,B-decoration
12587,простий,O
12588,чотириконечний,I-decoration
12589,хрест,I-decoration
12590,Графіті,B-inscription
12591,№,O
12592,522,O
12593,табл,O
12594,LХХІ,O
12595,1,O
12596,Опис,B-inscription
12597,Збереженість,O
12598,напису,I-preservation_state
12599,добра,I-inscription_type
12600,майже,O
12601,всі,O
12602,його,O
12603,складові,O
12604,збереглись,O
12605,дових,O
12606,трирядкового,O
12607,напису,I-preservation_state
12608,визначити,O
12609,неможливо,O
12610,Наявні,O
12611,літери,O
12612,пошкоджені,O
12613,настільки,O
12614,Датування,B-dating_criteria
12615,Кінець,O
12616,XІ,O
12617,кінець,O
12618,ХІІ,O
12619,ст.,O
12620,за,O
12621,формою,O
12622,написання,O
12623,а,O
12624,з,I-object_type
12625,видовженою,O
12626,Розташування,B-other
12627,Висота,O
12628,від,O
12629,сучасної,O
12630,підлоги,O
12631,103,O
12632,см,O
12633,відстань,O
12634,від,O
12635,лівого,O
12636,кута,O
12637,87,O
12638,см,O
12639,щена,O
12640,обвалом,O
12641,тиньку,O
12642,Графіті,B-inscription
12643,№,O
12644,482,O
12645,табл,O
12646,ХLV,O
12647,6,O
12648,ребра,O
12649,12,O
12650,см,O
12651,петлею,O
12652,кутом,O
12653,донизу175,O
12654,графіті,B-inscription_type
12655,на,I-inscription_type
12656,рівні,O
12657,першого,O
12658,поверху,O
12659,Софійського,O
12660,собору,O
12661,Публікації,O
12662,В.,O
12663,Корнієнко115,O
12664,Датування,B-dating_criteria
12665,Друга,O
12666,чверть,O
12667,XІІ,O
12668,кінець,O
12669,XVІ,O
12670,ст.,O
12671,за,O
12672,формою,O
12673,прорізів,O
12674,крапок,O
12675,дозволило,O
12676,встановити,O
12677,їх,O
12678,випадковий,O
12679,характер,O
12680,----ηθη,O
12681,|,O
12682,---σον,O
12683,|,O
